Order_ID,Order_Date,Warehouse_ID,Product_ID,Product_Category,Units_Ordered,Unit_Cost,Transport_Mode,Distance_km,Delivery_Time_days,Stock_Availability,Delivery_Status
O10000,2023-10-13,WH-010,P52335,Groceries,26,499.33,Sea,1089,2,No,Cancelled
O10001,2023-04-14,WH-004,P93105,Automotive,18,27.46,Road,609,12,No,Cancelled
O10002,2023-09-18,WH-007,P78326,Automotive,20,303.45,Air,1104,8,Yes,On-Time
O10003,2023-04-10,WH-006,P72630,Automotive,3,126.99,Rail,1628,14,No,Cancelled
O10004,2023-07-18,WH-001,P82084,Electronics,30,61.17,Sea,1094,1,No,Cancelled
O10005,2023-04-09,WH-009,P43219,Automotive,41,495.78,Rail,336,1,No,Cancelled
O10006,2023-04-06,WH-010,P65633,Furniture,14,368.85,Sea,1671,9,No,Cancelled
O10007,2023-10-12,WH-008,P57686,Electronics,13,417.63,Sea,822,12,No,Cancelled
O10008,2023-08-28,WH-002,P10174,Apparel,6,303.88,Road,671,9,No,Delayed
O10009,2023-01-15,WH-005,P45407,Electronics,1,177.29,Sea,494,8,Yes,On-Time
O10010,2023-09-09,WH-006,P13283,Toys,28,9.47,Road,1495,4,No,Delayed
O10011,2023-02-26,WH-010,P87967,Automotive,48,308.11,Rail,254,4,No,Delayed
O10012,2023-04-22,WH-009,P16596,Apparel,20,434.01,Rail,355,5,No,On-Time
O10013,2023-01-11,WH-004,P67024,Toys,41,151.75,Sea,701,9,Yes,Delayed
O10014,2023-11-01,WH-003,P36920,Furniture,37,183.93,Road,460,2,No,On-Time
O10015,2023-01-25,WH-005,P70353,Toys,45,204.3,Sea,250,1,Yes,On-Time
O10016,2023-09-20,WH-007,P36025,Toys,42,86.46,Air,1763,1,No,Delayed
O10017,2023-03-28,WH-002,P85303,Toys,33,249.09,Sea,1806,4,No,Cancelled
O10018,2023-12-09,WH-002,P68216,Toys,3,428.67,Sea,1966,7,Yes,Delayed
O10019,2023-05-22,WH-003,P37126,Electronics,46,371.97,Road,775,13,Yes,On-Time
O10020,2023-05-25,WH-002,P10082,Electronics,9,173.58,Air,1214,7,Yes,Cancelled
O10021,2023-02-01,WH-006,P40968,Apparel,9,391.35,Air,686,13,Yes,Delayed
O10022,2023-10-31,WH-001,P45256,Groceries,19,260.56,Road,778,9,No,Cancelled
O10023,2023-03-16,WH-008,P31712,Toys,41,114.08,Air,736,5,No,Delayed
O10024,2023-03-21,WH-005,P93762,Apparel,39,203.17,Road,1248,3,Yes,On-Time
O10025,2023-05-14,WH-002,P61349,Groceries,6,64.53,Air,95,13,Yes,Cancelled
O10026,2023-08-06,WH-010,P20671,Groceries,34,447.69,Sea,1053,7,Yes,On-Time
O10027,2023-05-08,WH-004,P94011,Automotive,29,88.19,Sea,1437,3,Yes,On-Time
O10028,2023-06-04,WH-001,P84856,Electronics,40,9.4,Road,333,7,Yes,On-Time
O10029,2023-09-15,WH-006,P35086,Electronics,11,203.69,Road,1601,2,Yes,On-Time
O10030,2023-11-25,WH-002,P88161,Groceries,4,206.14,Sea,1970,1,No,On-Time
O10031,2023-05-29,WH-008,P17284,Toys,20,489.07,Rail,792,11,No,On-Time
O10032,2023-10-31,WH-006,P23957,Automotive,3,495.44,Air,344,1,Yes,Delayed
O10033,2023-06-07,WH-005,P88390,Toys,7,408.66,Air,1662,5,Yes,On-Time
O10034,2023-01-24,WH-005,P13604,Furniture,6,292.15,Air,1831,14,No,On-Time
O10035,2023-06-08,WH-009,P98649,Groceries,39,318.61,Rail,571,6,No,Delayed
O10036,2023-02-24,WH-004,P85715,Furniture,15,89.62,Sea,1566,1,Yes,Cancelled
O10037,2023-04-20,WH-010,P24069,Toys,20,230.48,Sea,706,10,Yes,On-Time
O10038,2023-10-07,WH-009,P25333,Toys,48,453.69,Rail,1724,13,Yes,On-Time
O10039,2023-05-06,WH-007,P88223,Electronics,11,20.42,Air,963,10,Yes,Delayed
O10040,2023-02-09,WH-009,P22047,Apparel,6,46.98,Sea,819,12,No,Delayed
O10041,2023-10-31,WH-005,P73610,Electronics,36,346.32,Rail,1986,9,No,Cancelled
O10042,2023-02-11,WH-007,P11918,Electronics,7,226.78,Sea,780,1,No,Cancelled
O10043,2023-08-27,WH-007,P34397,Toys,9,119.67,Air,1518,12,No,Cancelled
O10044,2023-07-30,WH-006,P19190,Furniture,37,396.67,Rail,310,14,Yes,Cancelled
O10045,2023-05-27,WH-002,P69779,Furniture,32,228.82,Road,223,10,No,On-Time
O10046,2023-05-30,WH-004,P15773,Automotive,21,491.47,Sea,273,1,Yes,On-Time
O10047,2023-12-03,WH-003,P96910,Apparel,15,468.41,Sea,1599,15,Yes,Delayed
O10048,2023-08-10,WH-004,P52154,Groceries,45,306.01,Air,992,13,Yes,On-Time
O10049,2023-05-31,WH-008,P90357,Automotive,46,483.53,Air,1129,14,Yes,On-Time
O10050,2023-12-04,WH-008,P29131,Groceries,32,241.33,Air,1901,3,No,Cancelled
O10051,2023-03-22,WH-005,P56720,Electronics,18,63.48,Road,1586,10,No,Cancelled
O10052,2023-06-30,WH-010,P69982,Furniture,41,113.69,Rail,302,12,Yes,Delayed
O10053,2023-05-21,WH-009,P55911,Apparel,46,414.26,Rail,192,8,Yes,On-Time
O10054,2023-10-06,WH-008,P40459,Automotive,43,207.44,Sea,1765,7,Yes,Delayed
O10055,2023-09-03,WH-010,P84270,Automotive,2,440.17,Rail,1148,10,Yes,Delayed
O10056,2023-06-19,WH-007,P91184,Electronics,13,224.05,Rail,90,11,Yes,Cancelled
O10057,2023-07-26,WH-010,P49366,Electronics,47,142.37,Rail,1732,12,No,On-Time
O10058,2023-06-27,WH-009,P87398,Apparel,35,214.68,Sea,946,3,Yes,Cancelled
O10059,2023-05-01,WH-006,P69810,Apparel,38,91.03,Sea,1936,1,Yes,Cancelled
O10060,2023-11-24,WH-002,P32690,Toys,8,150.28,Air,308,13,No,Cancelled
O10061,2023-07-10,WH-002,P22734,Groceries,39,276.37,Sea,551,14,No,On-Time
O10062,2023-02-20,WH-007,P24063,Groceries,9,191.64,Rail,1482,5,Yes,On-Time
O10063,2023-11-08,WH-007,P50918,Automotive,38,468.03,Road,1121,10,Yes,Delayed
O10064,2023-01-23,WH-001,P19859,Toys,30,49.67,Sea,427,1,Yes,Cancelled
O10065,2023-11-17,WH-002,P58252,Automotive,4,161.81,Sea,1233,12,No,Delayed
O10066,2023-06-19,WH-006,P13115,Groceries,16,396.02,Air,1214,5,No,On-Time
O10067,2023-05-12,WH-010,P37867,Automotive,35,491.45,Rail,1365,2,No,Delayed
O10068,2023-12-23,WH-010,P60576,Electronics,36,172.11,Sea,1148,3,Yes,On-Time
O10069,2023-07-28,WH-003,P99613,Furniture,35,489.18,Air,1436,10,Yes,Cancelled
O10070,2023-05-15,WH-005,P62023,Groceries,11,380.16,Sea,1965,3,No,On-Time
O10071,2023-06-10,WH-006,P72700,Electronics,27,447.2,Air,1440,9,No,On-Time
O10072,2023-01-04,WH-010,P79593,Electronics,24,330.59,Sea,934,10,No,Cancelled
O10073,2023-12-02,WH-008,P67670,Automotive,31,200.95,Air,393,14,Yes,On-Time
O10074,2023-01-27,WH-005,P68756,Groceries,48,126.17,Air,927,13,No,On-Time
O10075,2023-12-25,WH-007,P81430,Apparel,3,312.12,Air,1927,1,Yes,Cancelled
O10076,2023-03-10,WH-006,P60364,Electronics,21,360.09,Rail,233,8,Yes,Cancelled
O10077,2023-10-17,WH-007,P28216,Electronics,9,230.27,Air,1222,9,Yes,Cancelled
O10078,2023-02-02,WH-007,P82213,Furniture,30,230.33,Sea,492,14,No,Delayed
O10079,2023-08-31,WH-005,P85928,Automotive,1,230.43,Sea,248,12,Yes,Delayed
O10080,2023-11-06,WH-008,P48310,Groceries,34,297.82,Rail,1234,3,No,Cancelled
O10081,2023-07-17,WH-003,P38300,Apparel,47,254.35,Air,1212,13,No,Delayed
O10082,2023-03-26,WH-007,P78110,Electronics,7,85.94,Sea,917,3,Yes,On-Time
O10083,2023-02-10,WH-003,P10100,Automotive,30,277.16,Sea,568,3,Yes,Delayed
O10084,2023-08-26,WH-008,P87033,Groceries,9,465.77,Air,469,8,No,Delayed
O10085,2023-01-14,WH-004,P31395,Toys,31,72.19,Rail,1467,8,No,Delayed
O10086,2023-01-10,WH-007,P63707,Groceries,1,353.72,Rail,358,4,No,On-Time
O10087,2023-11-25,WH-002,P16428,Toys,4,151.96,Road,455,10,No,On-Time
O10088,2023-08-12,WH-006,P80253,Electronics,33,101.31,Air,1537,5,Yes,Cancelled
O10089,2023-02-15,WH-009,P99180,Automotive,23,194.43,Rail,1547,10,No,Cancelled
O10090,2023-09-14,WH-002,P20088,Furniture,29,360.71,Road,220,10,Yes,Cancelled
O10091,2023-04-25,WH-006,P96194,Electronics,29,276.51,Road,236,6,Yes,Delayed
O10092,2023-01-04,WH-009,P15467,Toys,13,369.99,Air,500,7,Yes,Cancelled
O10093,2023-03-27,WH-007,P56807,Electronics,50,454.56,Sea,1149,13,No,Delayed
O10094,2023-05-05,WH-002,P13411,Toys,3,456.15,Air,1477,15,No,Cancelled
O10095,2023-12-28,WH-001,P85064,Electronics,27,267.83,Sea,922,1,No,Cancelled
O10096,2023-06-08,WH-004,P70249,Groceries,37,109.03,Road,1253,4,No,On-Time
O10097,2023-08-03,WH-008,P96227,Automotive,4,430.34,Rail,775,2,Yes,Delayed
O10098,2023-06-28,WH-010,P37962,Automotive,49,337.37,Air,1658,2,No,Cancelled
O10099,2023-03-21,WH-001,P46209,Apparel,49,79.98,Rail,257,4,Yes,Cancelled
O10100,2023-12-03,WH-005,P13448,Toys,22,316.09,Rail,1061,4,No,On-Time
O10101,2023-10-28,WH-007,P84613,Furniture,47,153.85,Sea,835,2,No,Cancelled
O10102,2023-10-27,WH-010,P38055,Furniture,34,469.75,Air,1579,7,Yes,Delayed
O10103,2023-09-05,WH-005,P41919,Electronics,3,250.39,Air,419,3,No,Cancelled
O10104,2023-06-21,WH-009,P95934,Apparel,23,373.85,Road,1354,12,No,Cancelled
O10105,2023-12-08,WH-009,P51795,Furniture,33,343.08,Rail,964,13,Yes,Cancelled
O10106,2023-08-27,WH-003,P96471,Automotive,1,214.53,Sea,462,5,Yes,Delayed
O10107,2023-12-26,WH-007,P55310,Automotive,35,174.67,Road,1825,14,Yes,Cancelled
O10108,2023-03-29,WH-001,P51305,Electronics,30,83.13,Road,1980,6,Yes,Delayed
O10109,2023-09-23,WH-008,P78172,Toys,23,11.84,Rail,1363,2,No,On-Time
O10110,2023-05-13,WH-004,P84761,Electronics,16,24.0,Air,1746,7,Yes,On-Time
O10111,2023-06-03,WH-004,P75767,Furniture,38,91.5,Sea,1005,2,No,Delayed
O10112,2023-07-01,WH-009,P69792,Groceries,26,197.48,Road,1847,9,No,Delayed
O10113,2023-01-12,WH-007,P28220,Apparel,12,468.89,Sea,373,14,No,On-Time
O10114,2023-11-24,WH-006,P94528,Groceries,46,262.83,Sea,1491,9,Yes,On-Time
O10115,2023-05-23,WH-003,P62864,Toys,12,384.81,Air,389,4,Yes,On-Time
O10116,2023-03-28,WH-007,P83834,Toys,25,7.96,Rail,1694,13,No,Delayed
O10117,2023-05-21,WH-003,P10756,Automotive,44,420.92,Air,933,6,No,Delayed
O10118,2023-03-02,WH-003,P52377,Electronics,37,7.13,Air,1147,15,Yes,Cancelled
O10119,2023-02-19,WH-002,P13529,Electronics,44,242.94,Air,1901,10,Yes,Delayed
O10120,2023-07-28,WH-005,P88948,Groceries,4,176.75,Sea,612,9,No,Delayed
O10121,2023-10-26,WH-009,P28341,Electronics,36,258.35,Sea,1188,14,Yes,Delayed
O10122,2023-12-24,WH-006,P48220,Automotive,6,135.57,Sea,1789,8,No,Delayed
O10123,2023-06-10,WH-010,P58944,Electronics,36,278.69,Road,528,5,Yes,Cancelled
