Order_ID,Order_Date,Warehouse_ID,Product_ID,Product_Category,Units_Ordered,Unit_Cost,Total_sales,Transport_Mode,Distance_km,Delivery_Time_days,Stock_Availability,Delivery_Status
O10000,2023-10-13,WH-010,P52335,Groceries,26,499.33,12982.58,Sea,1089,2,No,Cancelled
O10001,2023-04-14,WH-004,P93105,Automotive,18,27.46,494.28000000000003,Road,609,12,No,Cancelled
O10002,2023-09-18,WH-007,P78326,Automotive,20,303.45,6069.0,Air,1104,8,Yes,On-Time
O10003,2023-04-10,WH-006,P72630,Automotive,3,126.99,380.96999999999997,Rail,1628,14,No,Cancelled
O10004,2023-07-18,WH-001,P82084,Electronics,30,61.17,1835.1000000000001,Sea,1094,1,No,Cancelled
O10005,2023-04-09,WH-009,P43219,Automotive,41,495.78,20326.98,Rail,336,1,No,Cancelled
O10006,2023-04-06,WH-010,P65633,Furniture,14,368.85,5163.900000000001,Sea,1671,9,No,Cancelled
O10007,2023-10-12,WH-008,P57686,Electronics,13,417.63,5429.19,Sea,822,12,No,Cancelled
O10008,2023-08-28,WH-002,P10174,Apparel,6,303.88,1823.28,Road,671,9,No,Delayed
O10009,2023-01-15,WH-005,P45407,Electronics,1,177.29,177.29,Sea,494,8,Yes,On-Time
O10010,2023-09-09,WH-006,P13283,Toys,28,9.47,265.16,Road,1495,4,No,Delayed
O10011,2023-02-26,WH-010,P87967,Automotive,48,308.11,14789.28,Rail,254,4,No,Delayed
O10012,2023-04-22,WH-009,P16596,Apparel,20,434.01,8680.2,Rail,355,5,No,On-Time
O10013,2023-01-11,WH-004,P67024,Toys,41,151.75,6221.75,Sea,701,9,Yes,Delayed
O10014,2023-11-01,WH-003,P36920,Furniture,37,183.93,6805.41,Road,460,2,No,On-Time
O10015,2023-01-25,WH-005,P70353,Toys,45,204.3,9193.5,Sea,250,1,Yes,On-Time
O10016,2023-09-20,WH-007,P36025,Toys,42,86.46,3631.3199999999997,Air,1763,1,No,Delayed
O10017,2023-03-28,WH-002,P85303,Toys,33,249.09,8219.97,Sea,1806,4,No,Cancelled
O10018,2023-12-09,WH-002,P68216,Toys,3,428.67,1286.01,Sea,1966,7,Yes,Delayed
O10019,2023-05-22,WH-003,P37126,Electronics,46,371.97,17110.620000000003,Road,775,13,Yes,On-Time
O10020,2023-05-25,WH-002,P10082,Electronics,9,173.58,1562.22,Air,1214,7,Yes,Cancelled
O10021,2023-02-01,WH-006,P40968,Apparel,9,391.35,3522.15,Air,686,13,Yes,Delayed
O10022,2023-10-31,WH-001,P45256,Groceries,19,260.56,4950.64,Road,778,9,No,Cancelled
O10023,2023-03-16,WH-008,P31712,Toys,41,114.08,4677.28,Air,736,5,No,Delayed
O10024,2023-03-21,WH-005,P93762,Apparel,39,203.17,7923.629999999999,Road,1248,3,Yes,On-Time
O10025,2023-05-14,WH-002,P61349,Groceries,6,64.53,387.18,Air,95,13,Yes,Cancelled
O10026,2023-08-06,WH-010,P20671,Groceries,34,447.69,15221.46,Sea,1053,7,Yes,On-Time
O10027,2023-05-08,WH-004,P94011,Automotive,29,88.19,2557.5099999999998,Sea,1437,3,Yes,On-Time
O10028,2023-06-04,WH-001,P84856,Electronics,40,9.4,376.0,Road,333,7,Yes,On-Time
O10029,2023-09-15,WH-006,P35086,Electronics,11,203.69,2240.59,Road,1601,2,Yes,On-Time
O10030,2023-11-25,WH-002,P88161,Groceries,4,206.14,824.56,Sea,1970,1,No,On-Time
O10031,2023-05-29,WH-008,P17284,Toys,20,489.07,9781.4,Rail,792,11,No,On-Time
O10032,2023-10-31,WH-006,P23957,Automotive,3,495.44,1486.32,Air,344,1,Yes,Delayed
O10033,2023-06-07,WH-005,P88390,Toys,7,408.66,2860.6200000000003,Air,1662,5,Yes,On-Time
O10034,2023-01-24,WH-005,P13604,Furniture,6,292.15,1752.8999999999999,Air,1831,14,No,On-Time
O10035,2023-06-08,WH-009,P98649,Groceries,39,318.61,12425.79,Rail,571,6,No,Delayed
O10036,2023-02-24,WH-004,P85715,Furniture,15,89.62,1344.3000000000002,Sea,1566,1,Yes,Cancelled
O10037,2023-04-20,WH-010,P24069,Toys,20,230.48,4609.599999999999,Sea,706,10,Yes,On-Time
O10038,2023-10-07,WH-009,P25333,Toys,48,453.69,21777.12,Rail,1724,13,Yes,On-Time
O10039,2023-05-06,WH-007,P88223,Electronics,11,20.42,224.62,Air,963,10,Yes,Delayed
O10040,2023-02-09,WH-009,P22047,Apparel,6,46.98,281.88,Sea,819,12,No,Delayed
O10041,2023-10-31,WH-005,P73610,Electronics,36,346.32,12467.52,Rail,1986,9,No,Cancelled
O10042,2023-02-11,WH-007,P11918,Electronics,7,226.78,1587.46,Sea,780,1,No,Cancelled
O10043,2023-08-27,WH-007,P34397,Toys,9,119.67,1077.03,Air,1518,12,No,Cancelled
O10044,2023-07-30,WH-006,P19190,Furniture,37,396.67,14676.79,Rail,310,14,Yes,Cancelled
O10045,2023-05-27,WH-002,P69779,Furniture,32,228.82,7322.24,Road,223,10,No,On-Time
O10046,2023-05-30,WH-004,P15773,Automotive,21,491.47,10320.87,Sea,273,1,Yes,On-Time
O10047,2023-12-03,WH-003,P96910,Apparel,15,468.41,7026.150000000001,Sea,1599,15,Yes,Delayed
O10048,2023-08-10,WH-004,P52154,Groceries,45,306.01,13770.449999999999,Air,992,13,Yes,On-Time
O10049,2023-05-31,WH-008,P90357,Automotive,46,483.53,22242.379999999997,Air,1129,14,Yes,On-Time
O10050,2023-12-04,WH-008,P29131,Groceries,32,241.33,7722.56,Air,1901,3,No,Cancelled
O10051,2023-03-22,WH-005,P56720,Electronics,18,63.48,1142.6399999999999,Road,1586,10,No,Cancelled
O10052,2023-06-30,WH-010,P69982,Furniture,41,113.69,4661.29,Rail,302,12,Yes,Delayed
O10053,2023-05-21,WH-009,P55911,Apparel,46,414.26,19055.96,Rail,192,8,Yes,On-Time
O10054,2023-10-06,WH-008,P40459,Automotive,43,207.44,8919.92,Sea,1765,7,Yes,Delayed
O10055,2023-09-03,WH-010,P84270,Automotive,2,440.17,880.34,Rail,1148,10,Yes,Delayed
O10056,2023-06-19,WH-007,P91184,Electronics,13,224.05,2912.65,Rail,90,11,Yes,Cancelled
O10057,2023-07-26,WH-010,P49366,Electronics,47,142.37,6691.39,Rail,1732,12,No,On-Time
O10058,2023-06-27,WH-009,P87398,Apparel,35,214.68,7513.8,Sea,946,3,Yes,Cancelled
O10059,2023-05-01,WH-006,P69810,Apparel,38,91.03,3459.14,Sea,1936,1,Yes,Cancelled
O10060,2023-11-24,WH-002,P32690,Toys,8,150.28,1202.24,Air,308,13,No,Cancelled
O10061,2023-07-10,WH-002,P22734,Groceries,39,276.37,10778.43,Sea,551,14,No,On-Time
O10062,2023-02-20,WH-007,P24063,Groceries,9,191.64,1724.7599999999998,Rail,1482,5,Yes,On-Time
O10063,2023-11-08,WH-007,P50918,Automotive,38,468.03,17785.14,Road,1121,10,Yes,Delayed
O10064,2023-01-23,WH-001,P19859,Toys,30,49.67,1490.1000000000001,Sea,427,1,Yes,Cancelled
O10065,2023-11-17,WH-002,P58252,Automotive,4,161.81,647.24,Sea,1233,12,No,Delayed
O10066,2023-06-19,WH-006,P13115,Groceries,16,396.02,6336.32,Air,1214,5,No,On-Time
O10067,2023-05-12,WH-010,P37867,Automotive,35,491.45,17200.75,Rail,1365,2,No,Delayed
O10068,2023-12-23,WH-010,P60576,Electronics,36,172.11,6195.960000000001,Sea,1148,3,Yes,On-Time
O10069,2023-07-28,WH-003,P99613,Furniture,35,489.18,17121.3,Air,1436,10,Yes,Cancelled
O10070,2023-05-15,WH-005,P62023,Groceries,11,380.16,4181.76,Sea,1965,3,No,On-Time
O10071,2023-06-10,WH-006,P72700,Electronics,27,447.2,12074.4,Air,1440,9,No,On-Time
O10072,2023-01-04,WH-010,P79593,Electronics,24,330.59,7934.16,Sea,934,10,No,Cancelled
O10073,2023-12-02,WH-008,P67670,Automotive,31,200.95,6229.45,Air,393,14,Yes,On-Time
O10074,2023-01-27,WH-005,P68756,Groceries,48,126.17,6056.16,Air,927,13,No,On-Time
O10075,2023-12-25,WH-007,P81430,Apparel,3,312.12,936.36,Air,1927,1,Yes,Cancelled
O10076,2023-03-10,WH-006,P60364,Electronics,21,360.09,7561.889999999999,Rail,233,8,Yes,Cancelled
O10077,2023-10-17,WH-007,P28216,Electronics,9,230.27,2072.4300000000003,Air,1222,9,Yes,Cancelled
O10078,2023-02-02,WH-007,P82213,Furniture,30,230.33,6909.900000000001,Sea,492,14,No,Delayed
O10079,2023-08-31,WH-005,P85928,Automotive,1,230.43,230.43,Sea,248,12,Yes,Delayed
O10080,2023-11-06,WH-008,P48310,Groceries,34,297.82,10125.88,Rail,1234,3,No,Cancelled
O10081,2023-07-17,WH-003,P38300,Apparel,47,254.35,11954.449999999999,Air,1212,13,No,Delayed
O10082,2023-03-26,WH-007,P78110,Electronics,7,85.94,601.5799999999999,Sea,917,3,Yes,On-Time
O10083,2023-02-10,WH-003,P10100,Automotive,30,277.16,8314.800000000001,Sea,568,3,Yes,Delayed
O10084,2023-08-26,WH-008,P87033,Groceries,9,465.77,4191.93,Air,469,8,No,Delayed
O10085,2023-01-14,WH-004,P31395,Toys,31,72.19,2237.89,Rail,1467,8,No,Delayed
O10086,2023-01-10,WH-007,P63707,Groceries,1,353.72,353.72,Rail,358,4,No,On-Time
O10087,2023-11-25,WH-002,P16428,Toys,4,151.96,607.84,Road,455,10,No,On-Time
O10088,2023-08-12,WH-006,P80253,Electronics,33,101.31,3343.23,Air,1537,5,Yes,Cancelled
O10089,2023-02-15,WH-009,P99180,Automotive,23,194.43,4471.89,Rail,1547,10,No,Cancelled
O10090,2023-09-14,WH-002,P20088,Furniture,29,360.71,10460.59,Road,220,10,Yes,Cancelled
O10091,2023-04-25,WH-006,P96194,Electronics,29,276.51,8018.79,Road,236,6,Yes,Delayed
O10092,2023-01-04,WH-009,P15467,Toys,13,369.99,4809.87,Air,500,7,Yes,Cancelled
O10093,2023-03-27,WH-007,P56807,Electronics,50,454.56,22728.0,Sea,1149,13,No,Delayed
O10094,2023-05-05,WH-002,P13411,Toys,3,456.15,1368.4499999999998,Air,1477,15,No,Cancelled
O10095,2023-12-28,WH-001,P85064,Electronics,27,267.83,7231.41,Sea,922,1,No,Cancelled
O10096,2023-06-08,WH-004,P70249,Groceries,37,109.03,4034.11,Road,1253,4,No,On-Time
O10097,2023-08-03,WH-008,P96227,Automotive,4,430.34,1721.36,Rail,775,2,Yes,Delayed
O10098,2023-06-28,WH-010,P37962,Automotive,49,337.37,16531.13,Air,1658,2,No,Cancelled
O10099,2023-03-21,WH-001,P46209,Apparel,49,79.98,3919.02,Rail,257,4,Yes,Cancelled
O10100,2023-12-03,WH-005,P13448,Toys,22,316.09,6953.98,Rail,1061,4,No,On-Time
O10101,2023-10-28,WH-007,P84613,Furniture,47,153.85,7230.95,Sea,835,2,No,Cancelled
O10102,2023-10-27,WH-010,P38055,Furniture,34,469.75,15971.5,Air,1579,7,Yes,Delayed
O10103,2023-09-05,WH-005,P41919,Electronics,3,250.39,751.17,Air,419,3,No,Cancelled
O10104,2023-06-21,WH-009,P95934,Apparel,23,373.85,8598.550000000001,Road,1354,12,No,Cancelled
O10105,2023-12-08,WH-009,P51795,Furniture,33,343.08,11321.64,Rail,964,13,Yes,Cancelled
O10106,2023-08-27,WH-003,P96471,Automotive,1,214.53,214.53,Sea,462,5,Yes,Delayed
O10107,2023-12-26,WH-007,P55310,Automotive,35,174.67,6113.45,Road,1825,14,Yes,Cancelled
O10108,2023-03-29,WH-001,P51305,Electronics,30,83.13,2493.8999999999996,Road,1980,6,Yes,Delayed
O10109,2023-09-23,WH-008,P78172,Toys,23,11.84,272.32,Rail,1363,2,No,On-Time
O10110,2023-05-13,WH-004,P84761,Electronics,16,24.0,384.0,Air,1746,7,Yes,On-Time
O10111,2023-06-03,WH-004,P75767,Furniture,38,91.5,3477.0,Sea,1005,2,No,Delayed
O10112,2023-07-01,WH-009,P69792,Groceries,26,197.48,5134.48,Road,1847,9,No,Delayed
O10113,2023-01-12,WH-007,P28220,Apparel,12,468.89,5626.68,Sea,373,14,No,On-Time
O10114,2023-11-24,WH-006,P94528,Groceries,46,262.83,12090.179999999998,Sea,1491,9,Yes,On-Time
O10115,2023-05-23,WH-003,P62864,Toys,12,384.81,4617.72,Air,389,4,Yes,On-Time
O10116,2023-03-28,WH-007,P83834,Toys,25,7.96,199.0,Rail,1694,13,No,Delayed
O10117,2023-05-21,WH-003,P10756,Automotive,44,420.92,18520.48,Air,933,6,No,Delayed
O10118,2023-03-02,WH-003,P52377,Electronics,37,7.13,263.81,Air,1147,15,Yes,Cancelled
O10119,2023-02-19,WH-002,P13529,Electronics,44,242.94,10689.36,Air,1901,10,Yes,Delayed
O10120,2023-07-28,WH-005,P88948,Groceries,4,176.75,707.0,Sea,612,9,No,Delayed
O10121,2023-10-26,WH-009,P28341,Electronics,36,258.35,9300.6,Sea,1188,14,Yes,Delayed
O10122,2023-12-24,WH-006,P48220,Automotive,6,135.57,813.42,Sea,1789,8,No,Delayed
O10123,2023-06-10,WH-010,P58944,Electronics,36,278.69,10032.84,Road,528,5,Yes,Cancelled
O10124,2023-03-13,WH-003,P52102,Electronics,36,37.92,1365.1200000000001,Road,132,7,No,Delayed
O10125,2023-06-01,WH-006,P66289,Automotive,9,387.39,3486.5099999999998,Road,1527,11,No,Cancelled
O10126,2023-12-25,WH-007,P90359,Automotive,11,341.63,3757.93,Sea,1919,10,No,On-Time
O10127,2023-11-30,WH-008,P65064,Apparel,42,118.52,4977.84,Air,241,5,Yes,Cancelled
O10128,2023-01-09,WH-001,P83894,Furniture,1,279.45,279.45,Air,1720,5,Yes,Cancelled
O10129,2023-10-24,WH-009,P58044,Automotive,21,424.55,8915.550000000001,Air,634,8,Yes,Cancelled
O10130,2023-02-18,WH-009,P93019,Groceries,7,422.23,2955.61,Air,439,3,No,On-Time
O10131,2023-11-25,WH-005,P63755,Groceries,10,99.96,999.5999999999999,Air,525,9,No,Delayed
O10132,2023-07-11,WH-002,P14106,Apparel,26,124.95,3248.7000000000003,Road,187,3,Yes,Delayed
O10133,2023-02-15,WH-006,P25023,Apparel,5,305.29,1526.45,Sea,1654,1,No,On-Time
O10134,2023-02-20,WH-007,P42656,Apparel,35,449.63,15737.05,Rail,65,8,No,Cancelled
O10135,2023-08-24,WH-010,P57393,Groceries,11,24.56,270.15999999999997,Sea,1588,1,Yes,On-Time
O10136,2023-02-17,WH-005,P90470,Furniture,9,410.6,3695.4,Road,681,1,No,Delayed
O10137,2023-08-10,WH-005,P49000,Automotive,24,39.53,948.72,Sea,1386,14,No,Cancelled
O10138,2023-01-13,WH-002,P47256,Electronics,36,234.07,8426.52,Air,1319,6,No,Delayed
O10139,2023-12-28,WH-008,P93589,Electronics,36,216.4,7790.400000000001,Air,1329,10,No,On-Time
O10140,2023-07-09,WH-003,P26813,Electronics,47,168.79,7933.129999999999,Air,623,11,No,Cancelled
O10141,2023-01-20,WH-009,P49141,Furniture,35,142.68,4993.8,Road,1275,13,Yes,Cancelled
O10142,2023-07-14,WH-004,P22440,Furniture,27,154.95,4183.65,Rail,1848,14,No,Cancelled
O10143,2023-06-11,WH-010,P57673,Apparel,35,453.48,15871.800000000001,Sea,1026,11,No,On-Time
O10144,2023-12-05,WH-007,P41586,Apparel,45,194.34,8745.3,Road,949,4,No,Cancelled
O10145,2023-12-12,WH-002,P60441,Groceries,3,89.91,269.73,Rail,1314,4,Yes,Delayed
O10146,2023-10-03,WH-005,P18828,Automotive,2,318.82,637.64,Road,1070,15,Yes,Cancelled
O10147,2023-08-30,WH-003,P70487,Electronics,16,475.94,7615.04,Rail,1156,5,Yes,Delayed
O10148,2023-09-01,WH-001,P55623,Toys,26,226.98,5901.48,Sea,318,1,No,On-Time
O10149,2023-12-27,WH-003,P18374,Groceries,47,379.44,17833.68,Air,1865,13,No,Cancelled
O10150,2023-07-07,WH-010,P88031,Furniture,26,255.77,6650.02,Road,1097,8,Yes,On-Time
O10151,2023-01-21,WH-002,P20819,Furniture,27,289.28,7810.5599999999995,Road,996,12,No,On-Time
O10152,2023-10-07,WH-010,P17850,Toys,32,317.79,10169.28,Air,1726,13,No,Delayed
O10153,2023-11-29,WH-004,P61222,Apparel,47,136.24,6403.280000000001,Sea,1978,8,No,Cancelled
O10154,2023-10-09,WH-001,P66424,Groceries,26,313.62,8154.12,Air,984,1,Yes,Cancelled
O10155,2023-07-25,WH-008,P35990,Toys,32,443.77,14200.64,Air,1014,2,No,Cancelled
O10156,2023-07-23,WH-002,P18733,Furniture,46,356.77,16411.42,Air,1934,11,Yes,On-Time
O10157,2023-09-11,WH-010,P98747,Apparel,36,245.09,8823.24,Air,1221,3,Yes,Delayed
O10158,2023-07-17,WH-007,P46486,Groceries,5,422.48,2112.4,Air,1471,3,No,On-Time
O10159,2023-08-08,WH-006,P26257,Automotive,47,429.36,20179.920000000002,Rail,1400,15,Yes,Cancelled
O10160,2023-09-08,WH-001,P72112,Electronics,41,146.64,6012.24,Road,1213,14,No,On-Time
O10161,2023-11-05,WH-009,P55216,Toys,6,432.04,2592.2400000000002,Rail,815,2,Yes,On-Time
O10162,2023-04-04,WH-008,P56435,Furniture,10,43.11,431.1,Road,1900,6,No,Cancelled
O10163,2023-07-29,WH-010,P33105,Groceries,1,332.53,332.53,Air,488,6,No,On-Time
O10164,2023-10-17,WH-010,P12065,Groceries,40,462.97,18518.800000000003,Air,805,13,Yes,Delayed
O10165,2023-06-08,WH-004,P57310,Groceries,16,241.35,3861.6,Air,1536,9,No,On-Time
O10166,2023-08-12,WH-004,P66356,Automotive,8,416.38,3331.04,Air,265,2,No,On-Time
O10167,2023-01-11,WH-009,P56093,Toys,27,57.23,1545.2099999999998,Sea,122,10,Yes,Delayed
O10168,2023-01-31,WH-002,P34790,Automotive,35,366.65,12832.75,Air,366,11,Yes,On-Time
O10169,2023-01-01,WH-007,P80663,Groceries,5,98.15,490.75,Air,1168,2,Yes,On-Time
O10170,2023-07-06,WH-001,P59375,Apparel,27,444.06,11989.62,Air,50,7,No,Cancelled
